customer_id,age,gender,city_tier,city_name,employment_type,monthly_income,credit_score,existing_loans,years_employed,education_level,acquisition_channel,onboarding_date
CUST000018,29,Male,Tier 2,Alwar,Gig Worker,13863,665,2,17,Graduate,Social Media,2022-01-25
CUST000019,29,Male,Tier 3,Mira-Bhayandar,Gig Worker,19853,588,1,5,Graduate,DSA Agent,2022-01-24
CUST000020,40,Male,Tier 2,Panipat,Salaried,65572,775,0,19,Graduate,Social Media,2022-03-14
CUST000021,38,Male,Tier 2,Kanpur,Self Employed,67141,611,0,8,School,Organic,2022-06-19
CUST000022,32,Male,Tier 1,Mahbubnagar,Salaried,139685,827,0,30,Graduate,Referral,2022-06-30
CUST000023,25,Female,Tier 2,Gudivada,Salaried,58288,782,0,29,Graduate,Referral,2023-01-28
CUST000024,34,Male,Tier 2,Amroha,Gig Worker,23719,521,1,2,Graduate,Organic,2023-04-13
CUST000025,31,Female,Tier 2,Akola,Gig Worker,30774,629,0,6,Postgraduate,Social Media,2022-01-21
CUST000026,50,Male,Tier 2,Noida,Self Employed,79531,622,1,3,School,DSA Agent,2023-03-12
CUST000027,34,Female,Tier 1,Bokaro,Salaried,118301,739,0,22,Graduate,DSA Agent,2022-06-04
CUST000028,34,Female,Tier 2,Tiruvottiyur,Gig Worker,31130,518,2,19,Graduate,Social Media,2023-07-11
CUST000029,34,Female,Tier 2,Ulhasnagar,Gig Worker,14030,553,0,17,Graduate,Organic,2023-05-20
CUST000030,26,Female,Tier 2,Shimla,Salaried,54362,840,0,15,Graduate,Organic,2023-06-29
CUST000031,41,Male,Tier 3,Yamunanagar,Self Employed,57238,608,0,13,School,DSA Agent,2023-02-28
CUST000032,43,Other,Tier 1,Gandhidham,Salaried,106919,765,0,3,Postgraduate,Referral,2022-11-22
CUST000033,38,Female,Tier 1,Bhagalpur,Salaried,110614,706,0,4,Graduate,Social Media,2022-06-21
CUST000034,49,Female,Tier 3,Meerut,Business Owner,182351,618,1,13,Professional,Organic,2022-12-15
CUST000035,32,Female,Tier 3,Bhiwandi,Business Owner,160836,747,0,5,School,Social Media,2023-04-03
CUST000036,23,Male,Tier 1,Rourkela,Student,0,599,1,0,Professional,Social Media,2022-08-05
CUST000037,27,Female,Tier 2,Silchar,Salaried,125529,735,0,11,Postgraduate,Social Media,2023-09-21
CUST000038,33,Male,Tier 1,Barasat,Salaried,77472,837,0,29,Postgraduate,Organic,2023-11-07
CUST000039,47,Female,Tier 2,Katihar,Self Employed,85475,606,0,39,School,Social Media,2022-01-06
CUST000040,38,Male,Tier 3,Nadiad,Gig Worker,33813,550,0,3,Graduate,Social Media,2023-08-13
CUST000041,32,Female,Tier 2,Bhalswa Jahangir Pur,Salaried,138613,716,0,26,Graduate,Referral,2023-09-18
CUST000042,27,Male,Tier 3,Ulhasnagar,Gig Worker,17121,519,0,5,Postgraduate,Organic,2022-05-05
CUST000043,35,Male,Tier 1,Ahmedabad,Salaried,127414,778,0,23,Postgraduate,Referral,2023-06-27
CUST000044,33,Female,Tier 2,Sultan Pur Majra,Business Owner,195088,769,1,11,School,Organic,2022-11-25
CUST000045,39,Female,Tier 1,Satna,Salaried,102584,702,0,26,Graduate,Social Media,2022-09-22
CUST000046,42,Female,Tier 3,Jalandhar,Self Employed,26608,664,0,21,Graduate,Organic,2022-08-04
CUST000047,30,Male,Tier 1,Bhiwani,Salaried,136771,750,0,24,Graduate,Referral,2022-05-01
CUST000048,23,Male,Tier 2,Thanjavur,Gig Worker,28238,678,0,2,Graduate,Social Media,2022-06-17
CUST000049,38,Female,Tier 2,Shimoga,Gig Worker,14895,594,1,6,Graduate,Social Media,2023-08-17
CUST000050,26,Other,Tier 2,Rohtak,Salaried,139729,764,1,24,Graduate,Social Media,2022-09-19
CUST000051,46,Female,Tier 3,Surendranagar Dudhrej,Business Owner,38704,746,1,28,Graduate,Social Media,2022-03-21
CUST000052,40,Male,Tier 1,Giridih,Self Employed,48691,708,0,22,Graduate,Organic,2022-03-14
CUST000053,47,Female,Tier 3,Saharsa,Business Owner,166088,709,1,2,Graduate,DSA Agent,2022-10-23
CUST000054,23,Male,Tier 1,Bokaro,Student,18690,522,0,0,Graduate,Referral,2022-03-17
CUST000055,33,Female,Tier 2,Motihari,Gig Worker,33181,551,1,18,Graduate,Social Media,2022-10-06
CUST000056,46,Male,Tier 2,Bangalore,Business Owner,62054,652,0,26,Graduate,Organic,2023-10-21
CUST000057,25,Male,Tier 1,Ahmedabad,Salaried,126668,728,1,6,Professional,Social Media,2022-09-25
CUST000058,27,Female,Tier 2,Navi Mumbai,Salaried,96215,773,1,3,Postgraduate,Social Media,2023-04-14
CUST000059,42,Female,Tier 2,Amroha,Salaried,62091,766,0,23,Graduate,Referral,2022-07-25
CUST000060,38,Male,Tier 1,Muzaffarnagar,Salaried,84770,718,0,25,Graduate,Organic,2023-09-19
CUST000061,27,Male,Tier 3,Chandrapur,Gig Worker,29425,657,0,9,Graduate,Referral,2022-02-03
CUST000062,41,Male,Tier 1,Visakhapatnam,Salaried,42100,785,1,18,Graduate,DSA Agent,2023-07-21
CUST000063,18,Female,Tier 2,Udupi,Student,18776,576,0,0,Graduate,Referral,2022-12-23
CUST000064,26,Male,Tier 3,Howrah,Gig Worker,32400,512,1,8,Graduate,Social Media,2023-02-21
CUST000065,26,Male,Tier 1,Khora ,Salaried,80552,844,1,15,Graduate,Organic,2022-04-07
CUST000066,26,Female,Tier 2,Jamshedpur,Gig Worker,33728,628,1,4,School,Social Media,2023-12-18
CUST000067,43,Female,Tier 3,Mahbubnagar,Salaried,62434,844,0,30,Postgraduate,Social Media,2022-10-22
CUST000068,18,Female,Tier 2,Gandhinagar,Student,15976,444,0,0,Graduate,Social Media,2022-03-03
CUST000069,33,Female,Tier 1,Bhubaneswar,Salaried,46157,850,0,14,School,Organic,2023-03-05
CUST000070,48,Female,Tier 2,Nizamabad,Business Owner,190088,635,1,5,Professional,Social Media,2022-08-16
CUST000071,30,Female,Tier 3,Bhind,Self Employed,22676,741,1,25,Graduate,Social Media,2023-10-07
CUST000072,32,Female,Tier 1,Malda,Salaried,40600,803,0,22,Postgraduate,DSA Agent,2023-05-04
CUST000073,34,Female,Tier 1,Purnia,Salaried,52708,768,0,14,School,Referral,2023-04-26
CUST000074,23,Male,Tier 1,Bardhaman,Student,15852,571,2,0,Graduate,Organic,2023-11-19
CUST000075,36,Other,Tier 3,Srinagar,Self Employed,21977,563,0,14,Graduate,Organic,2023-11-01
CUST000076,35,Male,Tier 3,Ghaziabad,Self Employed,91613,738,0,19,School,Social Media,2022-10-08
CUST000077,42,Male,Tier 2,Munger,Self Employed,63435,647,0,1,Graduate,DSA Agent,2023-03-25
CUST000078,33,Male,Tier 2,Allahabad,Salaried,48446,777,0,14,Graduate,Social Media,2022-05-30
CUST000079,30,Male,Tier 3,Bilaspur,Gig Worker,21939,646,0,12,School,Referral,2023-07-02
CUST000080,32,Other,Tier 2,Gandhidham,Salaried,102861,741,1,14,School,Organic,2022-02-24
CUST000081,23,Female,Tier 3,Pallavaram,Student,0,576,0,0,Graduate,Social Media,2022-02-05
CUST000082,50,Female,Tier 2,Phagwara,Self Employed,23796,619,0,14,Professional,Organic,2023-05-29
CUST000083,31,Female,Tier 3,Mangalore,Salaried,94571,788,1,15,Graduate,Organic,2022-06-27
CUST000084,30,Female,Tier 2,Moradabad,Salaried,70897,712,0,9,Postgraduate,Referral,2023-08-24
CUST000085,26,Male,Tier 1,Panvel,Salaried,91538,835,0,13,Graduate,Social Media,2022-08-13
CUST000086,33,Female,Tier 1,Bellary,Salaried,105055,704,2,30,Graduate,Organic,2022-03-03
CUST000087,28,Female,Tier 2,Mango,Self Employed,43933,581,0,34,Postgraduate,Referral,2023-10-27
CUST000088,29,Male,Tier 3,Kota,Self Employed,90256,727,0,28,Postgraduate,Referral,2022-06-30
CUST000089,21,Female,Tier 2,Srinagar,Student,0,425,0,0,Graduate,Social Media,2023-11-05
CUST000090,24,Male,Tier 2,Aurangabad,Gig Worker,22820,589,2,5,Graduate,Organic,2022-03-20
CUST000091,33,Male,Tier 2,Amroha,Salaried,102974,724,0,2,Postgraduate,DSA Agent,2022-10-23
CUST000092,36,Male,Tier 3,Mehsana,Self Employed,80776,653,1,39,School,Referral,2022-08-04
CUST000093,48,Male,Tier 1,Mumbai,Self Employed,20816,710,0,27,Graduate,Referral,2022-12-19
CUST000094,26,Female,Tier 1,Pali,Gig Worker,25167,665,0,14,Postgraduate,DSA Agent,2023-05-09
CUST000095,44,Female,Tier 3,Saharanpur,Self Employed,96042,692,1,33,Graduate,Organic,2023-10-10
CUST000096,28,Male,Tier 3,Katni,Gig Worker,12934,532,1,1,Graduate,Referral,2022-10-11
CUST000097,33,Female,Tier 2,Kottayam,Gig Worker,27857,520,3,2,Graduate,Organic,2022-05-07
CUST000098,28,Female,Tier 2,Morena,Gig Worker,20471,666,0,11,Graduate,Social Media,2022-10-15
CUST000099,43,Male,Tier 3,Sambhal,Salaried,68975,761,0,10,Graduate,Referral,2022-10-03
CUST000100,33,Male,Tier 1,Panvel,Salaried,61541,817,1,3,School,Social Media,2022-06-12
CUST000101,26,Other,Tier 1,Delhi,Salaried,105552,768,0,12,Graduate,Social Media,2023-06-05
CUST000102,36,Female,Tier 3,Ongole,Self Employed,65334,652,1,4,Graduate,Organic,2022-07-27
CUST000103,43,Other,Tier 2,Tezpur,Salaried,95324,733,1,10,Postgraduate,Referral,2023-06-30
CUST000104,31,Male,Tier 3,Thoothukudi,Gig Worker,26988,586,0,9,Graduate,Organic,2023-12-29
CUST000105,33,Female,Tier 1,Rewa,Business Owner,94127,688,0,19,Postgraduate,Organic,2023-06-15
CUST000106,40,Male,Tier 1,Mysore,Salaried,99227,835,0,5,Professional,Organic,2023-05-19
CUST000107,29,Male,Tier 1,Deoghar,Gig Worker,18520,671,0,15,Postgraduate,Organic,2022-02-25
CUST000108,28,Female,Tier 2,Jodhpur,Self Employed,69394,748,0,25,Postgraduate,Social Media,2023-04-19
CUST000109,38,Male,Tier 1,Ramagundam,Salaried,68489,715,1,4,Postgraduate,Organic,2023-05-09
CUST000110,44,Male,Tier 3,Belgaum,Salaried,96011,719,0,2,Graduate,Organic,2022-05-13
CUST000111,25,Male,Tier 2,Yamunanagar,Salaried,127059,722,0,13,Postgraduate,Organic,2023-02-19
CUST000112,37,Male,Tier 1,Dewas,Salaried,128841,737,0,14,Graduate,DSA Agent,2023-07-21
CUST000113,46,Female,Tier 3,Aligarh,Business Owner,109863,653,0,34,Professional,DSA Agent,2022-07-10
CUST000114,20,Female,Tier 3,Morbi,Student,0,571,0,0,Postgraduate,Referral,2022-05-07
CUST000115,35,Male,Tier 1,Bahraich,Self Employed,70723,637,0,39,Graduate,Social Media,2022-12-26
CUST000116,26,Male,Tier 2,Kolhapur,Student,0,414,0,0,Graduate,Referral,2022-10-22
CUST000117,23,Male,Tier 1,Nellore,Student,0,468,0,0,School,Organic,2022-07-29
CUST000118,26,Female,Tier 1,Guntakal,Salaried,85572,742,0,8,Graduate,Referral,2023-12-20
CUST000119,18,Male,Tier 2,Unnao,Student,0,595,1,0,Graduate,Social Media,2023-05-13
CUST000120,38,Female,Tier 2,Rajkot,Gig Worker,27200,617,0,17,Postgraduate,Social Media,2023-06-19
CUST000121,20,Male,Tier 3,Panchkula,Student,0,511,0,0,Postgraduate,DSA Agent,2023-03-09
CUST000122,18,Male,Tier 2,Pune,Student,0,573,2,0,Graduate,Referral,2022-06-20
CUST000123,38,Female,Tier 1,Sonipat,Salaried,78724,845,1,27,Postgraduate,Social Media,2023-06-16
CUST000124,25,Female,Tier 3,Naihati,Salaried,127828,776,0,18,School,DSA Agent,2022-09-09
CUST000125,39,Male,Tier 3,Machilipatnam,Salaried,70182,798,0,6,Graduate,Organic,2023-10-17
CUST000126,26,Female,Tier 2,Rajpur Sonarpur,Gig Worker,25241,542,1,19,Graduate,DSA Agent,2023-08-20
CUST000127,20,Female,Tier 1,Jorhat,Student,0,478,0,0,Professional,DSA Agent,2023-08-26
CUST000128,19,Female,Tier 3,Adoni,Student,0,498,0,0,School,Social Media,2022-02-13
CUST000129,42,Female,Tier 2,Madurai,Salaried,141484,756,0,9,School,Social Media,2022-06-27
CUST000130,36,Female,Tier 2,Ajmer,Gig Worker,32033,643,1,13,Postgraduate,Referral,2023-10-01
CUST000131,30,Other,Tier 1,Surat,Gig Worker,20697,500,0,17,Graduate,Organic,2022-01-25
CUST000132,33,Male,Tier 1,Tadipatri,Salaried,146649,832,1,21,Graduate,Organic,2023-09-18
CUST000133,32,Female,Tier 1,Latur,Salaried,136729,823,0,16,Graduate,Social Media,2022-09-03
CUST000134,31,Male,Tier 2,Kanpur,Salaried,83307,784,0,4,Graduate,Organic,2022-11-08
CUST000135,51,Male,Tier 1,Dhanbad,Business Owner,145880,763,1,25,Professional,Social Media,2022-07-27
CUST000136,33,Male,Tier 1,Jalandhar,Salaried,99402,795,0,22,Graduate,Social Media,2022-02-21
CUST000137,32,Male,Tier 1,Phagwara,Gig Worker,19866,585,1,3,Graduate,Organic,2022-06-13
CUST000138,32,Female,Tier 3,Gudivada,Self Employed,45572,568,0,18,School,Social Media,2023-12-11
CUST000139,34,Female,Tier 3,Aligarh,Gig Worker,22112,504,0,16,School,Social Media,2023-03-17
CUST000140,31,Female,Tier 1,Mehsana,Business Owner,68888,770,0,23,Graduate,Organic,2023-11-12
CUST000141,39,Male,Tier 2,Rajkot,Business Owner,103633,679,0,6,Graduate,Social Media,2023-07-12
CUST000142,33,Male,Tier 2,Purnia,Salaried,81707,808,1,27,Graduate,Social Media,2022-09-02
CUST000143,38,Female,Tier 3,Rewa,Gig Worker,21953,512,0,0,Graduate,Social Media,2022-06-15
CUST000144,35,Male,Tier 2,Jamshedpur,Salaried,93150,746,0,16,Graduate,DSA Agent,2023-05-25
CUST000145,28,Female,Tier 1,Pondicherry,Salaried,85579,838,1,16,Postgraduate,DSA Agent,2023-01-23
CUST000146,31,Female,Tier 3,Ranchi,Salaried,136491,757,0,11,School,Social Media,2022-11-04
CUST000147,38,Female,Tier 2,Thanjavur,Self Employed,59820,630,1,12,Graduate,Referral,2023-11-19
CUST000148,30,Female,Tier 2,Jamshedpur,Gig Worker,26610,652,2,9,Graduate,Referral,2023-12-12
CUST000149,45,Female,Tier 1,Ajmer,Salaried,145923,839,1,17,School,Organic,2023-05-15
CUST000150,31,Male,Tier 2,Gulbarga,Salaried,56487,762,0,15,School,Referral,2022-12-23
CUST000151,41,Female,Tier 3,Begusarai,Business Owner,122338,610,3,14,Graduate,Organic,2022-04-21
CUST000152,28,Male,Tier 1,Bahraich,Salaried,122049,706,0,11,Graduate,Organic,2022-07-25
CUST000153,36,Male,Tier 2,Amaravati,Salaried,143829,727,0,25,Postgraduate,Social Media,2022-04-19
CUST000154,31,Male,Tier 2,Guntur,Gig Worker,23480,675,1,15,Postgraduate,Referral,2022-07-11
CUST000155,42,Female,Tier 2,Pudukkottai,Business Owner,180652,769,0,7,School,DSA Agent,2023-08-02
CUST000156,41,Male,Tier 2,Sangli-Miraj & Kupwad,Salaried,50619,791,0,15,Graduate,Social Media,2023-03-13
CUST000157,33,Male,Tier 3,Morbi,Self Employed,48670,677,0,27,Postgraduate,Social Media,2023-02-23
CUST000158,44,Male,Tier 3,Chennai,Self Employed,33787,722,2,21,Professional,Social Media,2022-07-24
CUST000159,44,Female,Tier 1,Mangalore,Salaried,60354,828,1,29,Graduate,Organic,2023-08-04
CUST000160,45,Female,Tier 1,Guntakal,Self Employed,36727,694,0,28,Graduate,DSA Agent,2023-03-31
CUST000161,26,Female,Tier 3,Erode,Gig Worker,19036,544,2,4,Graduate,Social Media,2022-11-29
CUST000162,50,Female,Tier 2,Cuttack,Self Employed,85921,745,0,10,Postgraduate,Referral,2023-11-29
CUST000163,45,Male,Tier 2,Asansol,Self Employed,87271,668,0,23,Graduate,Social Media,2023-03-30
CUST000164,32,Male,Tier 3,Nagaon,Gig Worker,12879,662,0,16,Graduate,Organic,2022-11-07
CUST000165,27,Female,Tier 1,Bulandshahr,Salaried,109193,701,0,17,School,Referral,2022-10-09
CUST000166,22,Male,Tier 1,Akola,Student,0,482,0,0,School,Organic,2022-06-20
CUST000167,33,Male,Tier 1,Kavali,Salaried,132963,744,0,10,Graduate,Referral,2022-04-18
CUST000168,29,Male,Tier 1,Panchkula,Salaried,59506,806,1,3,Graduate,Organic,2023-01-31
CUST000169,44,Female,Tier 2,Barasat,Salaried,101914,768,1,15,Graduate,Social Media,2023-01-19
CUST000170,36,Male,Tier 2,Gurgaon,Gig Worker,26795,669,0,8,Graduate,Organic,2022-03-12
CUST000171,32,Female,Tier 3,Proddatur,Self Employed,38323,563,0,23,Graduate,DSA Agent,2023-08-11
CUST000172,40,Male,Tier 1,Nellore,Salaried,97314,753,1,17,Graduate,Social Media,2022-02-06
CUST000173,23,Female,Tier 3,Bettiah,Gig Worker,15182,658,1,4,Graduate,Referral,2023-10-31
CUST000174,32,Male,Tier 1,Tadipatri,Salaried,93928,803,1,11,Graduate,Referral,2022-03-27
CUST000175,32,Male,Tier 2,Panvel,Self Employed,32462,707,0,24,Graduate,Organic,2022-04-29
CUST000176,45,Male,Tier 1,Madhyamgram,Salaried,111136,818,0,30,Graduate,Social Media,2023-05-03
CUST000177,46,Female,Tier 2,Bally,Self Employed,29625,598,0,13,Postgraduate,DSA Agent,2022-05-05
CUST000178,35,Male,Tier 2,Jammu,Gig Worker,18747,651,0,12,Graduate,Social Media,2023-09-08
CUST000179,40,Female,Tier 3,Jalgaon,Business Owner,104323,702,0,8,Postgraduate,Organic,2023-06-13
CUST000180,40,Female,Tier 2,Mehsana,Salaried,80270,776,1,11,Professional,Referral,2022-11-24
CUST000181,43,Female,Tier 2,Kozhikode,Salaried,93054,705,0,10,Postgraduate,Social Media,2023-04-09
CUST000182,40,Male,Tier 1,Meerut,Salaried,118899,720,0,14,Postgraduate,Referral,2022-02-19
CUST000183,50,Male,Tier 3,Anantapuram,Business Owner,169244,657,0,34,Postgraduate,Social Media,2022-10-26
CUST000184,20,Male,Tier 2,Raebareli,Student,16698,563,0,0,School,Organic,2022-10-24
CUST000185,42,Female,Tier 2,Thanjavur,Salaried,46276,780,1,30,Graduate,Social Media,2023-04-08
CUST000186,40,Female,Tier 3,Varanasi,Self Employed,41555,747,0,13,Graduate,Social Media,2022-12-30
CUST000187,24,Female,Tier 2,Faridabad,Student,15048,564,0,0,Postgraduate,Organic,2023-02-15
CUST000188,26,Female,Tier 3,Sangli-Miraj & Kupwad,Gig Worker,20773,615,1,10,Postgraduate,DSA Agent,2022-07-15
CUST000189,27,Male,Tier 2,Shivpuri,Gig Worker,14382,549,2,6,Graduate,Social Media,2023-03-06
CUST000190,39,Male,Tier 2,Madurai,Salaried,109712,718,0,4,Graduate,Referral,2023-10-31
CUST000191,42,Female,Tier 1,Raiganj,Salaried,107802,839,0,24,Graduate,DSA Agent,2022-01-09
CUST000192,25,Male,Tier 2,Gurgaon,Student,0,553,1,0,Graduate,Social Media,2023-06-13
CUST000193,37,Male,Tier 3,Anantapur,Business Owner,48940,700,0,35,Graduate,Social Media,2023-07-14
CUST000194,49,Female,Tier 1,Bhubaneswar,Self Employed,62583,722,0,37,Postgraduate,Organic,2022-03-30
CUST000195,38,Male,Tier 2,Ambattur,Salaried,126698,703,0,18,School,Social Media,2023-06-14
CUST000196,40,Female,Tier 1,Patiala,Salaried,40918,839,0,4,Postgraduate,Social Media,2023-11-19
CUST000197,34,Female,Tier 2,Kollam,Self Employed,85192,654,1,14,School,Organic,2023-02-22
CUST000198,24,Female,Tier 1,Muzaffarnagar,Student,0,403,0,0,Graduate,Organic,2023-08-07
CUST000199,19,Male,Tier 3,Chittoor,Student,1432,450,0,0,Graduate,Organic,2022-07-27
CUST000200,41,Male,Tier 2,Meerut,Self Employed,74571,665,0,32,Graduate,Referral,2023-08-20
CUST000201,35,Female,Tier 2,Ulhasnagar,Self Employed,90507,591,2,34,Graduate,DSA Agent,2023-05-13
CUST000202,29,Male,Tier 1,Phagwara,Salaried,128441,819,0,18,School,Organic,2022-09-22
CUST000203,32,Male,Tier 2,Mangalore,Salaried,145632,804,0,18,Postgraduate,Referral,2022-03-28
CUST000204,24,Male,Tier 3,Dindigul,Student,0,535,0,0,Graduate,Social Media,2022-08-16
CUST000205,30,Male,Tier 2,Berhampore,Self Employed,21537,646,1,33,School,Social Media,2022-12-04
CUST000206,40,Male,Tier 1,Secunderabad,Salaried,139798,824,1,14,School,Social Media,2022-05-03
CUST000207,45,Female,Tier 2,Panihati,Salaried,140054,787,0,14,School,DSA Agent,2022-12-19
CUST000208,31,Male,Tier 2,Warangal,Self Employed,74850,666,1,14,Postgraduate,Social Media,2022-01-03
CUST000209,25,Male,Tier 1,Jehanabad,Salaried,116616,789,0,7,Postgraduate,Social Media,2023-07-15
CUST000210,35,Female,Tier 1,Parbhani,Salaried,93881,815,0,13,Graduate,Organic,2023-11-12
CUST000211,36,Other,Tier 3,Bhubaneswar,Gig Worker,32168,552,0,19,Postgraduate,Organic,2023-07-13
CUST000212,37,Male,Tier 3,Berhampore,Self Employed,29942,674,1,23,Postgraduate,Social Media,2022-07-24
CUST000213,31,Male,Tier 1,Tirunelveli,Self Employed,77895,630,2,18,Graduate,Referral,2023-01-24
CUST000214,35,Female,Tier 2,Muzaffarnagar,Salaried,69621,845,2,10,Postgraduate,Organic,2023-08-15
CUST000215,45,Female,Tier 2,Mahbubnagar,Self Employed,58126,709,1,5,Graduate,Social Media,2022-05-19
CUST000216,26,Female,Tier 2,Pudukkottai,Salaried,54583,767,1,18,Postgraduate,DSA Agent,2023-01-30
CUST000217,43,Female,Tier 2,Gangtok,Salaried,147083,774,0,2,Graduate,Social Media,2023-12-10
CUST000218,50,Male,Tier 2,Chandigarh,Self Employed,37949,575,0,18,School,Social Media,2022-03-24
CUST000219,39,Female,Tier 2,Nagaon,Self Employed,80538,582,0,15,Graduate,Social Media,2023-11-08
CUST000220,20,Male,Tier 2,Thrissur,Student,0,573,1,0,Graduate,Referral,2023-05-01
CUST000221,47,Female,Tier 2,Surendranagar Dudhrej,Self Employed,70812,625,0,25,Graduate,Social Media,2022-08-20
CUST000222,25,Female,Tier 2,Kanpur,Gig Worker,21328,519,0,17,Graduate,Social Media,2023-10-16
CUST000223,29,Other,Tier 1,Shahjahanpur,Salaried,47630,766,0,7,Professional,Organic,2023-05-12
CUST000224,31,Male,Tier 3,Khammam,Gig Worker,30137,540,0,7,Graduate,DSA Agent,2023-01-30
CUST000225,27,Male,Tier 2,Adoni,Salaried,96079,723,1,24,Graduate,Organic,2023-04-19
CUST000226,32,Female,Tier 3,Gudivada,Salaried,146890,702,1,6,Graduate,Social Media,2022-06-04
CUST000227,49,Female,Tier 3,Chapra,Business Owner,81218,639,0,14,Postgraduate,Referral,2022-04-29
CUST000228,30,Female,Tier 2,Erode,Gig Worker,28725,588,0,19,Graduate,Referral,2022-10-18
CUST000229,24,Male,Tier 1,Thane,Student,3434,564,0,0,Postgraduate,Social Media,2023-08-16
CUST000230,47,Male,Tier 1,Dibrugarh,Self Employed,74673,633,1,5,Graduate,Social Media,2022-05-06
CUST000231,42,Female,Tier 3,Khandwa,Self Employed,71536,606,1,26,Graduate,Organic,2023-02-23
CUST000232,31,Male,Tier 2,Nangloi Jat,Gig Worker,27125,581,1,16,Graduate,DSA Agent,2023-08-28
CUST000233,25,Female,Tier 3,Bidhannagar,Gig Worker,17060,628,0,18,Graduate,Organic,2023-12-18
CUST000234,25,Male,Tier 3,New Delhi,Gig Worker,34222,662,0,4,Graduate,DSA Agent,2023-02-16
CUST000235,28,Female,Tier 1,Proddatur,Salaried,143218,762,1,22,Postgraduate,Organic,2023-12-15
CUST000236,40,Female,Tier 2,Vellore,Self Employed,72216,732,0,14,Graduate,Organic,2022-01-01
CUST000237,37,Female,Tier 2,Mira-Bhayandar,Salaried,130319,716,0,2,School,Organic,2023-04-11
CUST000238,38,Male,Tier 2,Sagar,Salaried,57354,798,0,30,Graduate,Social Media,2022-09-09
CUST000239,39,Female,Tier 2,Mysore,Self Employed,62439,696,0,33,Graduate,Organic,2023-01-15
CUST000240,25,Male,Tier 1,Nangloi Jat,Salaried,101945,765,0,8,Graduate,Social Media,2022-01-16
CUST000241,34,Female,Tier 1,Nanded,Business Owner,69218,798,1,30,School,Social Media,2022-03-28
CUST000242,54,Male,Tier 3,Aurangabad,Business Owner,126110,795,0,39,Postgraduate,Referral,2023-12-23
CUST000243,31,Male,Tier 3,Malda,Business Owner,67822,773,1,20,School,Referral,2022-10-09
CUST000244,27,Male,Tier 3,Durgapur,Gig Worker,26431,553,0,0,School,Referral,2023-11-14
CUST000245,29,Male,Tier 1,Udaipur,Salaried,115496,745,1,3,Postgraduate,Social Media,2023-10-08
CUST000246,41,Other,Tier 3,Madhyamgram,Business Owner,104496,782,1,28,Postgraduate,Organic,2023-09-19
CUST000247,29,Male,Tier 2,Madurai,Gig Worker,31327,510,1,19,Graduate,Referral,2022-08-27
CUST000248,31,Female,Tier 3,Thoothukudi,Business Owner,52855,793,0,27,Postgraduate,Social Media,2022-07-05
CUST000249,35,Other,Tier 3,Sagar,Business Owner,179686,670,1,37,Graduate,Referral,2022-02-14
CUST000250,18,Male,Tier 1,Gopalpur,Student,11617,567,0,0,Postgraduate,Organic,2022-07-07
CUST000251,45,Female,Tier 1,Jodhpur,Salaried,71207,751,2,17,Graduate,Referral,2023-11-13
CUST000252,37,Male,Tier 3,Pimpri-Chinchwad,Gig Worker,16541,642,1,1,Postgraduate,Social Media,2023-03-17
CUST000253,19,Male,Tier 1,Faridabad,Student,0,519,0,0,Postgraduate,Organic,2022-03-03
CUST000254,31,Male,Tier 3,Yamunanagar,Salaried,123487,718,0,3,Graduate,Organic,2022-03-08
