signal_id,customer_id,month,monthly_inflow,monthly_outflow,closing_balance,balance_volatility,inflow_drop_flag,spending_shock_flag,missed_bill_payments,upi_transaction_count,new_loan_flag,stress_score
SIG00000056,CUST000003,2022-08,33361.79,47260.96,391117.04,Low,1,0,0,7,0,24
SIG00000057,CUST000003,2022-09,35936.0,21843.29,405209.75,Low,1,0,0,9,0,24
SIG00000058,CUST000003,2022-10,94548.37,159294.28,340463.83,Low,0,1,0,15,1,19
SIG00000059,CUST000003,2022-11,84949.33,129018.14,296395.03,Low,0,0,1,17,0,25
SIG00000060,CUST000003,2022-12,103304.26,101855.38,297843.91,Low,0,0,1,20,0,10
SIG00000061,CUST000003,2023-01,100442.0,130220.24,268065.67,Low,0,0,1,18,0,21
SIG00000062,CUST000003,2023-02,98529.38,156660.42,209934.64,Low,0,0,1,25,0,36
SIG00000063,CUST000003,2023-03,85253.32,152896.96,142290.99,Medium,0,0,1,25,0,48
SIG00000064,CUST000003,2023-04,87544.89,76702.51,153133.37,Low,0,0,1,19,0,19
SIG00000065,CUST000003,2023-05,92991.61,79489.74,166635.24,Low,0,0,1,14,0,20
SIG00000066,CUST000003,2023-06,87632.57,61638.3,192629.51,Low,0,0,1,20,0,28
SIG00000067,CUST000003,2023-07,94715.74,59786.92,227558.33,Low,0,0,1,23,0,31
SIG00000068,CUST000003,2023-08,82972.89,60824.22,249707.0,Low,0,0,1,19,0,21
SIG00000069,CUST000003,2023-09,90165.06,100566.73,239305.33,Low,0,1,0,15,0,4
SIG00000070,CUST000003,2023-10,92073.3,99138.61,232240.02,Low,0,0,0,17,0,3
SIG00000071,CUST000003,2023-11,81191.93,99749.24,213682.71,Low,0,0,0,21,0,9
SIG00000072,CUST000003,2023-12,97125.6,102944.63,207863.68,Low,0,0,0,23,0,3
SIG00000073,CUST000004,2022-01,25011.81,17408.59,46377.91,Low,0,0,0,2,0,23
SIG00000074,CUST000004,2022-02,20981.9,18288.13,49071.68,Low,0,0,0,5,0,6
SIG00000075,CUST000004,2022-03,15293.64,10684.13,53681.19,Low,0,0,0,4,0,11
SIG00000076,CUST000004,2022-04,19514.29,14603.05,58592.43,Low,0,0,0,2,0,10
SIG00000077,CUST000004,2022-05,19946.25,12668.27,65870.42,Low,0,0,0,3,0,14
SIG00000078,CUST000004,2022-06,23437.88,14654.12,74654.19,Low,0,0,0,4,0,16
SIG00000079,CUST000004,2022-07,16372.78,13816.0,77210.96,Low,0,0,0,4,0,4
SIG00000080,CUST000004,2022-08,16500.22,13747.06,79964.12,Low,0,0,0,3,0,4
SIG00000081,CUST000004,2022-09,19967.49,14787.89,85143.72,Low,0,0,0,1,0,7
SIG00000082,CUST000004,2022-10,20901.68,13277.96,92767.45,Low,0,0,0,7,0,10
SIG00000083,CUST000004,2022-11,21134.53,18976.47,94925.51,Low,0,0,0,4,0,2
SIG00000084,CUST000004,2022-12,24001.65,19410.72,99516.43,Low,0,0,0,4,0,5
SIG00000085,CUST000004,2023-01,20567.96,16167.24,103917.16,Low,0,0,0,3,0,5
SIG00000086,CUST000004,2023-02,23979.07,18586.1,109310.13,Low,0,0,0,6,0,6
SIG00000087,CUST000004,2023-03,18097.31,15803.99,111603.45,Low,0,0,0,7,0,2
SIG00000088,CUST000004,2023-04,22459.35,13653.26,120409.54,Low,0,0,0,5,0,9
SIG00000089,CUST000004,2023-05,20556.64,14892.17,126074.0,Low,0,0,0,1,0,5
SIG00000090,CUST000004,2023-06,24799.52,21313.13,129560.4,Low,0,0,0,9,0,3
SIG00000091,CUST000004,2023-07,21293.42,14236.63,136617.19,Low,0,0,0,4,0,6
SIG00000092,CUST000004,2023-08,22530.0,17034.76,142112.43,Low,0,0,0,7,0,4
SIG00000093,CUST000004,2023-09,25587.73,16987.42,150712.74,Low,0,0,0,1,0,7
SIG00000094,CUST000004,2023-10,23670.09,16691.58,157691.25,Low,0,0,0,7,0,5
SIG00000095,CUST000004,2023-11,23995.51,21232.57,160454.18,Low,0,0,0,4,0,2
SIG00000096,CUST000004,2023-12,21953.54,19626.68,162781.04,Low,0,0,0,4,0,1
SIG00000097,CUST000005,2022-01,77956.21,35436.09,95595.82,High,0,0,0,14,0,50
SIG00000098,CUST000005,2022-02,72955.47,39555.62,128995.67,Medium,0,0,0,17,0,27
SIG00000099,CUST000005,2022-03,74523.36,33766.77,169752.26,Medium,0,0,0,9,0,25
SIG00000100,CUST000005,2022-04,73518.16,39569.95,203700.47,Low,0,0,0,11,0,15
SIG00000101,CUST000005,2022-05,84073.28,34620.84,253152.91,Low,0,0,0,21,0,19
SIG00000102,CUST000005,2022-06,76687.98,32556.17,297284.72,Low,0,0,0,7,0,13
SIG00000103,CUST000005,2022-07,78903.82,35929.35,340259.18,Low,0,0,0,12,0,11
SIG00000104,CUST000005,2022-08,79452.47,43329.95,376381.7,Low,0,0,0,17,0,8
SIG00000105,CUST000005,2022-09,82849.36,34051.5,425179.56,Low,0,0,0,13,0,10
SIG00000106,CUST000005,2022-10,75599.78,50543.14,450236.2,Low,0,0,0,15,0,4
SIG00000107,CUST000005,2022-11,76063.38,42579.15,483720.42,Low,0,0,0,12,0,5
SIG00000108,CUST000005,2022-12,72895.53,37408.91,519207.04,Low,0,0,0,11,0,5
SIG00000109,CUST000005,2023-01,83010.79,52857.23,549360.6,Low,0,0,0,17,0,4
SIG00000110,CUST000005,2023-02,79927.61,44849.94,584438.27,Low,0,0,0,17,0,5
SIG00000111,CUST000005,2023-03,72582.78,35212.29,621808.77,Low,0,0,0,13,0,5
SIG00000112,CUST000005,2023-04,75824.45,43313.47,654319.75,Low,0,0,0,16,0,4
SIG00000113,CUST000005,2023-05,74062.57,33770.32,694612.0,Low,0,0,0,12,0,4
SIG00000114,CUST000005,2023-06,74688.45,49968.79,719331.67,Low,0,0,0,8,0,2
SIG00000115,CUST000005,2023-07,77588.21,33643.16,763276.73,Low,0,0,0,12,0,4
SIG00000116,CUST000005,2023-08,76360.71,45861.7,793775.73,Low,0,0,0,22,0,3
SIG00000117,CUST000005,2023-09,70163.1,44262.24,819676.59,Low,0,0,0,10,0,2
SIG00000118,CUST000005,2023-10,78632.79,41489.09,856820.29,Low,0,0,0,16,0,3
SIG00000119,CUST000005,2023-11,77547.13,65824.42,868542.99,Low,0,1,0,16,1,1
SIG00000120,CUST000005,2023-12,73091.59,72158.66,869475.93,Low,0,0,0,15,0,0
SIG00000121,CUST000006,2022-01,58852.66,35573.54,84255.84,Medium,0,0,0,15,0,30
SIG00000122,CUST000006,2022-02,62985.56,34104.97,113136.43,Medium,0,0,0,12,0,27
SIG00000123,CUST000006,2022-03,61193.95,27804.69,146525.69,Low,0,0,0,6,0,23
SIG00000124,CUST000006,2022-04,60950.22,34884.36,172591.54,Low,0,0,0,16,0,14
SIG00000125,CUST000006,2022-05,58875.27,26440.69,205026.11,Low,0,0,0,8,0,15
SIG00000126,CUST000006,2022-06,62463.96,37450.84,230039.23,Low,0,0,0,13,0,9
SIG00000127,CUST000006,2022-07,59859.22,38607.99,251290.46,Low,0,0,0,11,0,7
SIG00000128,CUST000006,2022-08,63554.02,34243.16,280601.33,Low,0,0,0,10,0,9
SIG00000129,CUST000006,2022-09,55884.59,37435.55,299050.38,Low,0,0,0,10,0,5
SIG00000130,CUST000006,2022-10,60727.71,40805.47,318972.61,Low,0,0,0,13,0,5
SIG00000131,CUST000006,2022-11,61180.19,30618.95,349533.85,Low,0,0,0,8,0,7
SIG00000132,CUST000006,2022-12,62405.13,36570.77,375368.21,Low,0,0,0,13,0,5
SIG00000133,CUST000006,2023-01,59200.27,29216.32,405352.16,Low,0,0,0,9,0,6
SIG00000134,CUST000006,2023-02,61904.17,25384.41,441871.92,Low,0,0,0,13,0,7
SIG00000135,CUST000006,2023-03,59624.62,88928.56,412567.98,Low,0,1,0,7,1,5
SIG00000136,CUST000006,2023-04,63194.57,90850.09,384912.46,Low,0,0,0,8,0,5
SIG00000137,CUST000006,2023-05,63603.27,85209.32,363306.42,Low,0,0,0,15,0,4
SIG00000138,CUST000006,2023-06,63632.72,70364.29,356574.85,Low,0,0,0,11,0,1
SIG00000139,CUST000006,2023-07,61196.57,74738.29,343033.13,Low,0,0,0,8,0,3
SIG00000140,CUST000006,2023-08,63214.06,79812.67,326434.53,Low,0,0,0,14,0,3
SIG00000141,CUST000006,2023-09,66086.0,44723.69,347796.84,Low,0,0,0,16,0,5
SIG00000142,CUST000006,2023-10,62469.86,35788.14,374478.56,Low,0,0,0,14,0,6
SIG00000143,CUST000006,2023-11,61236.89,41498.44,394217.01,Low,0,0,0,12,0,4
SIG00000144,CUST000006,2023-12,60982.68,63164.05,392035.65,Low,0,1,0,16,1,0
SIG00000145,CUST000007,2022-01,101823.92,58791.36,234057.86,Low,0,0,0,19,0,18
SIG00000146,CUST000007,2022-02,107096.27,53608.02,287546.11,Low,0,0,0,26,0,18
SIG00000147,CUST000007,2022-03,96402.5,54102.88,329845.73,Low,0,0,0,27,0,11
SIG00000148,CUST000007,2022-04,93139.21,46950.17,376034.77,Low,0,0,0,22,0,11
SIG00000149,CUST000007,2022-05,100223.04,44324.35,431933.46,Low,0,0,0,15,0,11
SIG00000150,CUST000007,2022-06,93909.47,49366.11,476476.82,Low,0,0,0,26,0,8
SIG00000151,CUST000007,2022-07,110928.24,44807.06,542598.0,Low,0,0,0,24,0,11
SIG00000152,CUST000007,2022-08,107260.63,73829.75,576028.88,Low,0,1,0,16,0,4
SIG00000153,CUST000007,2022-09,114606.08,48148.64,642486.31,Low,0,0,0,27,0,9
SIG00000154,CUST000007,2022-10,101841.65,68174.46,676153.5,Low,0,0,0,16,0,4
SIG00000155,CUST000007,2022-11,101374.71,57728.07,719800.15,Low,0,0,0,12,0,5
SIG00000156,CUST000007,2022-12,98782.01,52945.84,765636.32,Low,0,0,0,20,0,5
SIG00000157,CUST000007,2023-01,107867.44,48170.58,825333.17,Low,0,0,0,17,0,6
SIG00000158,CUST000007,2023-02,91014.29,62238.73,854108.73,Low,0,0,0,16,0,2
SIG00000159,CUST000007,2023-03,95902.55,39091.41,910919.88,Low,0,0,0,14,0,5
SIG00000160,CUST000007,2023-04,110437.36,66005.89,955351.35,Low,0,1,0,18,0,3
SIG00000161,CUST000007,2023-05,98877.98,58913.86,995315.48,Low,0,0,0,16,0,3
SIG00000162,CUST000007,2023-06,104025.58,49199.07,1050141.99,Low,0,0,0,26,0,4
SIG00000163,CUST000007,2023-07,96052.39,46868.22,1099326.16,Low,0,0,0,26,0,3
SIG00000164,CUST000007,2023-08,104668.14,44552.26,1159442.03,Low,0,0,0,17,0,4
SIG00000165,CUST000007,2023-09,103196.79,54325.62,1208313.21,Low,0,0,0,27,0,3
SIG00000166,CUST000007,2023-10,95189.03,47836.79,1255665.45,Low,0,0,0,16,0,3
SIG00000167,CUST000007,2023-11,93637.92,54988.37,1294315.0,Low,0,0,0,17,0,2
SIG00000168,CUST000007,2023-12,104617.74,55535.07,1343397.67,Low,0,0,0,25,0,3
SIG00000169,CUST000008,2022-01,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000170,CUST000008,2022-02,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000171,CUST000008,2022-03,0.0,0.0,4408.11,Low,0,0,0,2,0,0
SIG00000172,CUST000008,2022-04,0.0,0.0,4408.11,Low,0,0,0,0,0,0
SIG00000173,CUST000008,2022-05,0.0,0.0,4408.11,Low,0,0,0,2,0,0
SIG00000174,CUST000008,2022-06,0.0,0.0,4408.11,Low,0,0,0,0,0,0
SIG00000175,CUST000008,2022-07,0.0,0.0,4408.11,Low,0,0,0,0,0,0
SIG00000176,CUST000008,2022-08,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000177,CUST000008,2022-09,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000178,CUST000008,2022-10,0.0,0.0,4408.11,Low,0,0,0,0,0,0
SIG00000179,CUST000008,2022-11,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000180,CUST000008,2022-12,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000181,CUST000008,2023-01,0.0,0.0,4408.11,Low,0,0,0,0,0,0
SIG00000182,CUST000008,2023-02,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000183,CUST000008,2023-03,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000184,CUST000008,2023-04,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000185,CUST000008,2023-05,0.0,0.0,4408.11,Low,0,0,0,3,0,0
SIG00000186,CUST000008,2023-06,0.0,0.0,4408.11,Low,0,0,0,0,0,0
SIG00000187,CUST000008,2023-07,0.0,0.0,4408.11,Low,0,0,0,3,0,0
SIG00000188,CUST000008,2023-08,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000189,CUST000008,2023-09,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000190,CUST000008,2023-10,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000191,CUST000008,2023-11,0.0,0.0,4408.11,Low,0,0,0,1,0,0
SIG00000192,CUST000008,2023-12,0.0,0.0,4408.11,Low,0,0,0,4,0,0
SIG00000193,CUST000009,2022-01,24247.76,13000.92,38856.53,Medium,0,0,0,4,0,32
SIG00000194,CUST000009,2022-02,29625.52,17614.95,50867.1,Medium,0,0,0,7,0,24
SIG00000195,CUST000009,2022-03,28444.14,22235.36,57075.88,Low,0,0,0,11,0,9
SIG00000196,CUST000009,2022-04,31217.93,22516.71,65777.1,Low,0,0,0,4,0,12
SIG00000197,CUST000009,2022-05,22756.71,16018.31,72515.5,Low,0,0,0,4,0,8
SIG00000198,CUST000009,2022-06,24805.69,18944.99,78376.2,Low,0,0,0,7,0,6
SIG00000199,CUST000009,2022-07,29027.8,16522.65,90881.35,Low,0,0,0,4,0,12
SIG00000200,CUST000009,2022-08,35138.89,18179.2,107841.04,Low,0,0,0,10,0,14
SIG00000201,CUST000009,2022-09,28784.49,19512.48,117113.04,Low,0,0,0,4,0,6
SIG00000202,CUST000009,2022-10,23935.78,18349.76,122699.07,Low,0,0,0,7,0,3
SIG00000203,CUST000009,2022-11,30706.23,19921.05,133484.24,Low,0,0,0,3,0,7
SIG00000204,CUST000009,2022-12,25529.93,19284.34,139729.83,Low,0,0,0,7,0,3
SIG00000205,CUST000009,2023-01,28889.15,20151.21,148467.77,Low,0,0,0,11,0,5
SIG00000206,CUST000009,2023-02,29074.03,21739.96,155801.84,Low,0,0,0,6,0,3
SIG00000207,CUST000009,2023-03,28751.13,19825.17,164727.8,Low,0,0,0,6,0,4
SIG00000208,CUST000009,2023-04,28343.01,22359.73,170711.08,Low,0,0,0,6,0,2
SIG00000209,CUST000009,2023-05,31240.93,16251.69,185700.31,Low,0,0,0,8,0,7
SIG00000210,CUST000009,2023-06,25316.0,18416.85,192599.45,Low,0,0,0,1,0,2
SIG00000211,CUST000009,2023-07,27842.31,20356.13,200085.63,Low,0,0,0,6,0,3
SIG00000212,CUST000009,2023-08,22470.18,16592.94,205962.87,Low,0,0,0,3,0,2
SIG00000213,CUST000009,2023-09,24600.01,19317.38,211245.5,Low,0,0,0,5,0,2
SIG00000214,CUST000009,2023-10,30673.38,17860.02,224058.85,Low,0,0,0,5,0,4
SIG00000215,CUST000009,2023-11,24681.16,18740.59,229999.42,Low,0,0,0,9,0,2
SIG00000216,CUST000009,2023-12,32285.15,87670.51,174614.06,Low,0,1,0,7,1,19
SIG00000217,CUST000010,2022-01,41748.66,28163.29,49692.06,Medium,0,0,0,5,0,45
SIG00000218,CUST000010,2022-02,45024.57,27813.84,66902.79,Medium,0,0,0,8,0,41
SIG00000219,CUST000010,2022-03,45072.76,30894.97,81080.57,Low,0,0,0,5,0,25
SIG00000220,CUST000010,2022-04,39866.05,24126.46,96820.17,Low,0,0,0,3,0,23
SIG00000221,CUST000010,2022-05,53194.59,39373.36,110641.4,Low,0,1,0,7,0,17
SIG00000222,CUST000010,2022-06,47978.5,25494.35,133125.54,Low,0,0,0,10,0,24
SIG00000223,CUST000010,2022-07,45605.42,33984.67,144746.29,Low,0,0,0,7,0,10
SIG00000224,CUST000010,2022-08,49373.11,37599.36,156520.05,Low,0,0,0,13,0,9
SIG00000225,CUST000010,2022-09,42824.38,21805.99,177538.43,Low,0,0,0,9,0,16
SIG00000226,CUST000010,2022-10,46043.06,34997.77,188583.73,Low,0,1,0,14,0,7
SIG00000227,CUST000010,2022-11,47316.53,26208.86,209691.4,Low,0,0,0,11,0,13
SIG00000228,CUST000010,2022-12,46264.35,28560.12,227395.64,Low,0,0,0,9,0,10
SIG00000229,CUST000010,2023-01,45435.38,27311.25,245519.77,Low,0,0,0,7,0,9
SIG00000230,CUST000010,2023-02,39304.12,51602.3,233221.58,Low,0,1,0,9,1,6
SIG00000231,CUST000010,2023-03,48369.81,38097.66,243493.73,Low,0,0,0,6,0,5
SIG00000232,CUST000010,2023-04,45323.22,62872.21,225944.74,Low,0,1,0,9,0,8
SIG00000233,CUST000010,2023-05,40857.54,79002.88,187799.41,Low,0,0,0,13,1,20
SIG00000234,CUST000010,2023-06,47993.94,65509.96,170283.39,Low,0,0,0,10,0,11
SIG00000235,CUST000010,2023-07,44799.81,87082.43,128000.76,Low,0,0,0,14,0,29
SIG00000236,CUST000010,2023-08,46571.36,73277.99,101294.13,Low,0,0,0,8,0,25
SIG00000237,CUST000010,2023-09,52492.68,85495.77,68291.04,Medium,0,0,0,10,0,39
SIG00000238,CUST000010,2023-10,49642.16,90844.04,27089.17,High,0,0,0,9,0,50
SIG00000239,CUST000010,2023-11,47770.69,91955.56,-17095.71,High,0,0,0,2,0,50
SIG00000240,CUST000010,2023-12,48936.97,83929.1,-52087.84,High,0,0,0,8,0,50
SIG00000241,CUST000011,2022-01,153558.37,86261.17,203100.73,Medium,0,0,0,27,0,39
SIG00000242,CUST000011,2022-02,141927.78,87263.61,257764.9,Low,0,0,0,25,0,21
SIG00000243,CUST000011,2022-03,145465.83,87910.14,315320.58,Low,0,0,0,23,0,17
SIG00000244,CUST000011,2022-04,145283.09,89016.97,371586.71,Low,0,0,0,21,0,14
SIG00000245,CUST000011,2022-05,156681.5,88535.7,439732.51,Low,0,0,0,44,0,14
SIG00000246,CUST000011,2022-06,145898.76,94215.1,491416.18,Low,0,0,0,37,0,9
SIG00000247,CUST000011,2022-07,150107.57,78552.57,562971.17,Low,0,0,0,28,0,11
SIG00000248,CUST000011,2022-08,136956.35,86851.92,613075.6,Low,0,0,0,24,0,7
SIG00000249,CUST000011,2022-09,159772.73,68488.27,704360.06,Low,0,0,0,34,0,11
SIG00000250,CUST000011,2022-10,140384.59,80859.07,763885.58,Low,0,0,0,22,0,6
SIG00000251,CUST000011,2022-11,143856.06,61673.16,846068.48,Low,0,0,0,30,0,8
SIG00000252,CUST000011,2022-12,149770.01,70329.62,925508.87,Low,0,0,0,28,0,7
SIG00000253,CUST000011,2023-01,148751.06,65589.09,1008670.84,Low,0,0,0,33,0,7
SIG00000254,CUST000011,2023-02,146433.74,77384.36,1077720.22,Low,0,0,0,33,0,5
SIG00000255,CUST000011,2023-03,148665.4,85262.0,1141123.63,Low,0,0,0,26,0,4
SIG00000256,CUST000011,2023-04,142537.73,60677.95,1222983.4,Low,0,0,0,36,0,5
SIG00000257,CUST000011,2023-05,138388.6,70093.67,1291278.33,Low,0,0,0,18,0,4
SIG00000258,CUST000011,2023-06,141240.55,59361.11,1373157.77,Low,0,0,0,33,0,5
SIG00000259,CUST000011,2023-07,153998.91,91669.88,1435486.79,Low,0,1,0,31,0,3
SIG00000260,CUST000011,2023-08,147243.8,73607.26,1509123.33,Low,0,0,0,32,0,4
SIG00000261,CUST000011,2023-09,144541.51,60424.52,1593240.32,Low,0,0,0,23,0,4
SIG00000262,CUST000011,2023-10,159093.65,73227.64,1679106.33,Low,0,0,0,32,0,4
SIG00000263,CUST000011,2023-11,158043.84,79697.0,1757453.17,Low,0,0,0,34,0,3
SIG00000264,CUST000011,2023-12,144202.62,97791.49,1803864.3,Low,0,0,0,24,0,2
SIG00000265,CUST000012,2022-01,88896.32,58341.53,88319.37,Medium,0,0,0,19,0,50
SIG00000266,CUST000012,2022-02,80402.52,58418.95,110302.93,Low,0,0,0,11,0,29
SIG00000267,CUST000012,2022-03,84892.81,43367.33,151828.41,Medium,0,0,0,14,0,45
SIG00000268,CUST000012,2022-04,86863.64,52816.65,185875.41,Low,0,0,0,18,0,26
SIG00000269,CUST000012,2022-05,70531.62,47974.08,208432.95,Low,0,0,0,14,0,14
SIG00000270,CUST000012,2022-06,62211.1,40380.54,230263.51,Low,0,0,0,11,0,12
SIG00000271,CUST000012,2022-07,81398.86,59991.7,251670.66,Low,0,0,0,14,0,11
SIG00000272,CUST000012,2022-08,81829.39,50807.38,282692.67,Low,0,0,0,12,0,14
SIG00000273,CUST000012,2022-09,79502.42,55038.86,307156.23,Low,0,0,0,20,0,10
SIG00000274,CUST000012,2022-10,79206.71,60086.55,326276.38,Low,0,0,0,23,0,7
SIG00000275,CUST000012,2022-11,90300.43,49886.61,366690.2,Low,0,0,0,18,0,14
SIG00000276,CUST000012,2022-12,83701.26,45526.14,404865.32,Low,0,0,0,15,0,12
SIG00000277,CUST000012,2023-01,79728.11,62965.01,421628.43,Low,0,0,0,15,0,4
SIG00000278,CUST000012,2023-02,83478.35,54414.74,450692.04,Low,0,0,0,16,0,8
SIG00000279,CUST000012,2023-03,69688.66,47797.81,472582.89,Low,0,0,0,16,0,5
SIG00000280,CUST000012,2023-04,84035.17,43564.25,513053.82,Low,0,0,0,20,0,10
SIG00000281,CUST000012,2023-05,80457.62,63972.15,529539.29,Low,0,0,0,13,0,3
SIG00000282,CUST000012,2023-06,76606.62,41092.97,565052.93,Low,0,0,0,13,0,8
SIG00000283,CUST000012,2023-07,76201.57,49746.42,591508.09,Low,0,0,0,17,0,5
SIG00000284,CUST000012,2023-08,80630.04,55406.45,616731.68,Low,0,0,0,16,0,5
SIG00000285,CUST000012,2023-09,68442.52,74059.68,611114.52,Low,0,0,0,13,1,1
SIG00000286,CUST000012,2023-10,77497.08,95785.61,592826.0,Low,0,0,0,19,0,3
SIG00000287,CUST000012,2023-11,74708.48,61697.54,605836.94,Low,0,0,0,12,0,2
SIG00000288,CUST000012,2023-12,58737.48,60878.03,603696.39,Low,0,0,0,12,0,0
