loan_id,customer_id,product_type,default_flag,days_to_default,default_month,total_amount_paid,total_amount_pending,recovery_amount,closure_date,write_off_flag
LOAN0000027,CUST007505,Personal Loan,0,,,278218.43,0.0,0.0,2023-10-04,0
LOAN0000028,CUST005660,Personal Loan,0,,,534201.66,0.0,0.0,2025-05-17,0
LOAN0000029,CUST004479,BNPL,0,,,59137.66,0.0,0.0,2024-02-11,0
LOAN0000030,CUST003095,BNPL,0,,,58491.5,0.0,0.0,2024-05-22,0
LOAN0000031,CUST005032,BNPL,0,,,11728.53,0.0,0.0,2023-06-10,0
LOAN0000032,CUST003382,SME Loan,1,120.0,4.0,28087.05,70377.95,17567.92,2024-01-11,1
LOAN0000033,CUST007581,Personal Loan,0,,,70250.04,0.0,0.0,2025-07-19,0
LOAN0000034,CUST005445,BNPL,1,240.0,8.0,25410.07,5798.93,1282.93,2024-02-13,1
LOAN0000035,CUST008782,BNPL,1,120.0,4.0,21434.31,27295.69,4958.25,2022-11-28,1
LOAN0000036,CUST005441,Personal Loan,1,180.0,6.0,43195.35,141198.65,28096.6,2024-02-23,1
LOAN0000037,CUST002387,BNPL,1,180.0,6.0,47037.5,8957.5,994.54,2024-02-24,1
LOAN0000038,CUST008525,Personal Loan,0,,,632579.5,0.0,0.0,2026-11-28,0
LOAN0000039,CUST005581,Personal Loan,0,,,271621.35,0.0,0.0,2026-09-01,0
LOAN0000040,CUST002073,Personal Loan,0,,,688610.88,0.0,0.0,2026-12-14,0
LOAN0000041,CUST006248,Personal Loan,0,,,170229.12,0.0,0.0,2026-02-09,0
LOAN0000042,CUST003579,Personal Loan,0,,,452257.61,0.0,0.0,2025-10-25,0
LOAN0000043,CUST008454,Personal Loan,1,180.0,6.0,48132.6,208994.4,40800.4,2024-03-03,1
LOAN0000044,CUST004529,Personal Loan,1,210.0,7.0,100674.24,71059.76,15022.41,2023-06-13,1
LOAN0000045,CUST007282,BNPL,0,,,48051.8,0.0,0.0,2023-09-10,0
LOAN0000046,CUST000966,Personal Loan,0,,,302215.05,0.0,0.0,2025-07-21,0
LOAN0000047,CUST003966,Personal Loan,0,,,169322.72,0.0,0.0,2026-10-17,0
LOAN0000048,CUST009828,Personal Loan,1,240.0,8.0,59493.0,147639.0,53648.27,2023-07-31,1
LOAN0000049,CUST008099,Personal Loan,0,,,276495.84,0.0,0.0,2026-04-29,0
LOAN0000050,CUST001610,Personal Loan,0,,,463399.92,0.0,0.0,2025-10-26,0
LOAN0000051,CUST002779,Personal Loan,0,,,321511.86,0.0,0.0,2024-08-23,0
LOAN0000052,CUST003299,Personal Loan,1,210.0,7.0,93573.6,177091.4,63493.07,2024-02-29,1
LOAN0000053,CUST006512,Personal Loan,1,210.0,7.0,45070.14,107154.86,32833.29,2024-02-14,1
LOAN0000054,CUST007581,BNPL,0,,,57516.84,0.0,0.0,2023-09-01,0
LOAN0000055,CUST007509,Personal Loan,0,,,15120.28,0.0,0.0,2026-04-30,0
LOAN0000056,CUST005105,Personal Loan,0,,,188881.0,0.0,0.0,2023-08-27,0
LOAN0000057,CUST008121,Personal Loan,0,,,156470.02,0.0,0.0,2026-06-12,0
LOAN0000058,CUST004371,SME Loan,0,,,142755.4,0.0,0.0,2026-01-26,0
LOAN0000059,CUST001252,BNPL,0,,,12908.35,0.0,0.0,2024-06-14,0
LOAN0000060,CUST005652,Personal Loan,0,,,133319.0,0.0,0.0,2024-07-19,0
LOAN0000061,CUST009525,BNPL,0,,,46139.6,0.0,0.0,2024-06-20,0
LOAN0000062,CUST007942,SME Loan,0,,,82112.96,0.0,0.0,2026-06-21,0
LOAN0000063,CUST005800,Personal Loan,1,90.0,3.0,42775.6,372827.4,142800.19,2024-01-08,1
LOAN0000064,CUST006476,SME Loan,1,210.0,7.0,130226.4,301842.6,31810.19,2023-07-09,1
LOAN0000065,CUST009309,Personal Loan,0,,,27570.06,0.0,0.0,2025-02-17,0
LOAN0000066,CUST004285,Personal Loan,0,,,431467.65,0.0,0.0,2025-02-02,0
LOAN0000067,CUST003313,Personal Loan,1,210.0,7.0,68147.76,157074.24,52780.5,2023-06-11,1
LOAN0000068,CUST009775,Personal Loan,0,,,218135.58,0.0,0.0,2024-01-30,0
LOAN0000069,CUST008646,SME Loan,0,,,402327.04,0.0,0.0,2026-08-28,0
LOAN0000070,CUST003233,Personal Loan,1,120.0,4.0,66165.33,320576.67,67134.9,2023-06-28,1
LOAN0000071,CUST004637,SME Loan,0,,,239247.29,0.0,0.0,2025-05-26,0
LOAN0000072,CUST004158,Education Loan,1,120.0,4.0,55814.82,263857.18,87522.58,2024-04-12,1
LOAN0000073,CUST001502,Personal Loan,0,,,55812.24,0.0,0.0,2024-11-23,0
LOAN0000074,CUST009580,Personal Loan,0,,,298913.7,0.0,0.0,2026-06-05,0
LOAN0000075,CUST004050,Personal Loan,0,,,344411.1,0.0,0.0,2024-06-11,0
LOAN0000076,CUST008766,Education Loan,0,,,275573.58,0.0,0.0,2027-03-20,0
LOAN0000077,CUST001901,Personal Loan,0,,,372082.04,0.0,0.0,2025-10-18,0
LOAN0000078,CUST005486,SME Loan,1,60.0,2.0,31291.68,410521.32,67140.27,2024-01-07,1
LOAN0000079,CUST000249,SME Loan,0,,,553695.6,0.0,0.0,2024-07-26,0
LOAN0000080,CUST007654,Education Loan,0,,,869278.68,0.0,0.0,2026-05-18,0
LOAN0000081,CUST005824,SME Loan,0,,,444820.8,0.0,0.0,2025-11-28,0
LOAN0000082,CUST006270,Personal Loan,0,,,635252.83,0.0,0.0,2026-01-04,0
LOAN0000083,CUST000525,Personal Loan,0,,,315964.61,0.0,0.0,2024-09-18,0
LOAN0000084,CUST002115,Personal Loan,1,60.0,2.0,44255.49,440623.51,95800.55,2024-02-27,1
LOAN0000085,CUST000752,SME Loan,0,,,535698.36,0.0,0.0,2025-01-07,0
LOAN0000086,CUST002893,BNPL,0,,,36543.4,0.0,0.0,2022-11-01,0
LOAN0000087,CUST006288,Personal Loan,0,,,156702.35,0.0,0.0,2026-02-22,0
LOAN0000088,CUST005670,Personal Loan,0,,,439616.06,0.0,0.0,2025-03-23,0
LOAN0000089,CUST006135,BNPL,0,,,43319.26,0.0,0.0,2023-11-24,0
LOAN0000090,CUST005499,Personal Loan,0,,,437339.43,0.0,0.0,2026-07-13,0
LOAN0000091,CUST002732,Personal Loan,0,,,101593.92,0.0,0.0,2024-06-07,0
LOAN0000092,CUST002449,Personal Loan,0,,,193857.8,0.0,0.0,2025-04-03,0
LOAN0000093,CUST001383,SME Loan,1,240.0,8.0,336681.24,90166.76,16239.7,2024-08-13,1
LOAN0000094,CUST008506,Personal Loan,0,,,426708.37,0.0,0.0,2024-10-25,0
LOAN0000095,CUST006179,BNPL,0,,,59721.66,0.0,0.0,2024-09-01,0
LOAN0000096,CUST001876,SME Loan,0,,,686668.71,0.0,0.0,2023-11-27,0
LOAN0000097,CUST001783,BNPL,0,,,48784.48,0.0,0.0,2024-08-15,0
LOAN0000098,CUST008741,Personal Loan,0,,,325645.88,0.0,0.0,2026-03-19,0
LOAN0000099,CUST007444,SME Loan,0,,,292607.56,0.0,0.0,2026-03-14,0
LOAN0000100,CUST006602,BNPL,0,,,55699.5,0.0,0.0,2024-02-25,0
LOAN0000101,CUST004076,Personal Loan,0,,,473086.74,0.0,0.0,2025-07-24,0
LOAN0000102,CUST002625,Personal Loan,1,210.0,7.0,55090.56,181276.44,39016.44,2023-10-08,1
LOAN0000103,CUST009795,Personal Loan,0,,,123865.56,0.0,0.0,2023-11-07,0
LOAN0000104,CUST007986,SME Loan,0,,,404278.6,0.0,0.0,2025-08-31,0
LOAN0000105,CUST003020,Personal Loan,1,60.0,2.0,19709.39,389623.61,126114.78,2023-10-07,1
LOAN0000106,CUST008488,Personal Loan,1,150.0,5.0,83166.92,274019.08,56909.45,2023-08-19,1
LOAN0000107,CUST007601,BNPL,0,,,24365.4,0.0,0.0,2022-12-20,0
LOAN0000108,CUST002973,Personal Loan,0,,,509368.23,0.0,0.0,2025-09-13,0
LOAN0000109,CUST004267,Personal Loan,0,,,613834.33,0.0,0.0,2025-06-03,0
LOAN0000110,CUST001870,BNPL,0,,,49198.16,0.0,0.0,2024-04-22,0
LOAN0000111,CUST001125,Personal Loan,0,,,108927.84,0.0,0.0,2025-01-25,0
LOAN0000112,CUST007243,Personal Loan,0,,,631769.88,0.0,0.0,2024-10-25,0
LOAN0000113,CUST002677,BNPL,1,120.0,4.0,20310.69,25227.31,7765.86,2023-02-25,1
LOAN0000114,CUST008216,Personal Loan,0,,,442819.19,0.0,0.0,2025-11-26,0
LOAN0000115,CUST009957,SME Loan,0,,,274613.1,0.0,0.0,2023-12-29,0
LOAN0000116,CUST000775,SME Loan,0,,,348445.5,0.0,0.0,2024-09-22,0
LOAN0000117,CUST004728,BNPL,0,,,36961.6,0.0,0.0,2024-05-10,0
LOAN0000118,CUST008033,BNPL,0,,,10314.57,0.0,0.0,2024-07-06,0
LOAN0000119,CUST007902,Personal Loan,0,,,282890.96,0.0,0.0,2025-09-16,0
LOAN0000120,CUST007612,Personal Loan,0,,,91813.32,0.0,0.0,2026-06-12,0
LOAN0000121,CUST003485,BNPL,1,120.0,4.0,2619.84,0.0,0.0,2023-09-29,1
LOAN0000122,CUST004535,Personal Loan,0,,,268162.64,0.0,0.0,2024-05-16,0
LOAN0000123,CUST005961,BNPL,1,60.0,2.0,1885.61,13059.39,3224.38,2024-02-06,1
LOAN0000124,CUST009739,Personal Loan,0,,,441071.92,0.0,0.0,2025-08-17,0
LOAN0000125,CUST003275,Education Loan,1,180.0,6.0,90610.05,268445.95,77664.14,2023-11-17,1
LOAN0000126,CUST009235,SME Loan,0,,,80633.04,0.0,0.0,2023-11-30,0
LOAN0000127,CUST002695,SME Loan,0,,,278857.75,0.0,0.0,2025-08-10,0
LOAN0000128,CUST009887,Education Loan,0,,,277942.52,0.0,0.0,2026-10-14,0
LOAN0000129,CUST006709,Personal Loan,0,,,258822.94,0.0,0.0,2025-03-06,0
LOAN0000130,CUST004633,Education Loan,1,210.0,7.0,186879.66,795594.34,265917.2,2024-06-03,1
LOAN0000131,CUST006147,BNPL,1,180.0,6.0,54182.2,0.0,0.0,2023-11-06,1
LOAN0000132,CUST002726,Personal Loan,0,,,116211.8,0.0,0.0,2024-10-28,0
LOAN0000133,CUST002744,Personal Loan,0,,,137103.84,0.0,0.0,2025-04-06,0
LOAN0000134,CUST001148,Personal Loan,0,,,449275.68,0.0,0.0,2024-11-19,0
LOAN0000135,CUST001153,BNPL,1,60.0,2.0,1118.75,6417.25,1161.86,2023-09-14,1
LOAN0000136,CUST003472,Personal Loan,0,,,220584.63,0.0,0.0,2025-09-25,0
LOAN0000137,CUST007640,Personal Loan,0,,,268580.31,0.0,0.0,2025-08-04,0
LOAN0000138,CUST006091,BNPL,1,240.0,8.0,34029.1,0.0,0.0,2024-08-04,1
LOAN0000139,CUST001038,Personal Loan,0,,,411245.73,0.0,0.0,2024-06-05,0
LOAN0000140,CUST008535,Personal Loan,0,,,24296.03,0.0,0.0,2024-08-07,0
LOAN0000141,CUST006027,Education Loan,0,,,196305.54,0.0,0.0,2026-08-17,0
LOAN0000142,CUST009610,Personal Loan,1,210.0,7.0,43736.7,84913.3,33104.54,2024-06-28,1
LOAN0000143,CUST006708,Personal Loan,0,,,202877.91,0.0,0.0,2024-09-14,0
LOAN0000144,CUST001763,SME Loan,0,,,402394.23,0.0,0.0,2025-09-19,0
LOAN0000145,CUST004736,Personal Loan,0,,,213213.77,0.0,0.0,2024-02-03,0
LOAN0000146,CUST006491,SME Loan,1,90.0,3.0,19798.36,159360.64,57962.16,2023-04-13,1
LOAN0000147,CUST000290,SME Loan,0,,,578819.36,0.0,0.0,2026-01-08,0
LOAN0000148,CUST000158,Personal Loan,0,,,337384.6,0.0,0.0,2026-08-27,0
LOAN0000149,CUST001306,Education Loan,0,,,301479.36,0.0,0.0,2026-08-27,0
LOAN0000150,CUST002519,Personal Loan,0,,,19600.37,0.0,0.0,2026-01-22,0
LOAN0000151,CUST004297,Personal Loan,0,,,67944.96,0.0,0.0,2025-11-21,0
LOAN0000152,CUST004882,Personal Loan,1,60.0,2.0,7040.41,61304.59,7127.38,2023-08-07,1
LOAN0000153,CUST001394,Personal Loan,0,,,310889.64,0.0,0.0,2023-12-11,0
LOAN0000154,CUST006744,Education Loan,0,,,744058.22,0.0,0.0,2026-03-27,0
LOAN0000155,CUST005973,Education Loan,0,,,969063.2,0.0,0.0,2027-01-12,0
LOAN0000156,CUST002948,Personal Loan,0,,,94141.11,0.0,0.0,2026-05-08,0
LOAN0000157,CUST000144,Personal Loan,0,,,358883.4,0.0,0.0,2024-11-02,0
LOAN0000158,CUST000785,BNPL,0,,,30370.14,0.0,0.0,2024-07-02,0
LOAN0000159,CUST003921,Personal Loan,0,,,458025.22,0.0,0.0,2026-09-03,0
LOAN0000160,CUST001550,Personal Loan,0,,,504581.16,0.0,0.0,2024-06-12,0
LOAN0000161,CUST003773,SME Loan,0,,,191956.6,0.0,0.0,2024-07-21,0
LOAN0000162,CUST006296,Education Loan,0,,,886262.16,0.0,0.0,2026-07-15,0
LOAN0000163,CUST005479,BNPL,1,120.0,4.0,9268.47,15247.53,5286.85,2023-04-21,1
LOAN0000164,CUST002319,Personal Loan,0,,,518130.34,0.0,0.0,2025-12-26,0
LOAN0000165,CUST003436,Personal Loan,0,,,184890.5,0.0,0.0,2026-01-27,0
LOAN0000166,CUST006152,BNPL,1,120.0,4.0,31590.06,0.0,0.0,2024-01-06,1
LOAN0000167,CUST008620,Personal Loan,0,,,311749.68,0.0,0.0,2025-12-23,0
LOAN0000168,CUST007545,Personal Loan,0,,,398978.2,0.0,0.0,2024-10-18,0
LOAN0000169,CUST005540,Personal Loan,0,,,382007.76,0.0,0.0,2025-12-18,0
LOAN0000170,CUST003624,Education Loan,0,,,793407.72,0.0,0.0,2024-02-22,0
LOAN0000171,CUST003651,SME Loan,0,,,104115.12,0.0,0.0,2025-09-20,0
LOAN0000172,CUST008806,Education Loan,0,,,1022795.76,0.0,0.0,2025-06-08,0
LOAN0000173,CUST000398,Personal Loan,1,180.0,6.0,39797.9,175332.1,35255.22,2024-05-18,1
LOAN0000174,CUST009878,Personal Loan,1,150.0,5.0,54333.96,297826.04,58391.44,2024-05-18,1
LOAN0000175,CUST006649,Personal Loan,1,90.0,3.0,43498.76,187429.24,62388.72,2023-08-17,1
LOAN0000176,CUST006826,Education Loan,0,,,418145.31,0.0,0.0,2026-09-13,0
LOAN0000177,CUST000385,SME Loan,0,,,376838.4,0.0,0.0,2024-08-16,0
LOAN0000178,CUST006066,BNPL,0,,,8119.62,0.0,0.0,2024-03-13,0
LOAN0000179,CUST004854,BNPL,0,,,13739.94,0.0,0.0,2024-06-28,0
LOAN0000180,CUST001068,BNPL,0,,,32572.35,0.0,0.0,2024-09-30,0
LOAN0000181,CUST002781,BNPL,0,,,23426.32,0.0,0.0,2023-11-02,0
LOAN0000182,CUST008914,Personal Loan,0,,,236398.25,0.0,0.0,2024-07-18,0
LOAN0000183,CUST005506,BNPL,1,150.0,5.0,20572.44,9620.56,2694.78,2024-01-18,1
LOAN0000184,CUST004141,Personal Loan,0,,,255038.56,0.0,0.0,2022-12-28,0
LOAN0000185,CUST000737,Personal Loan,0,,,392263.95,0.0,0.0,2024-08-29,0
LOAN0000186,CUST007159,SME Loan,1,60.0,2.0,4738.87,88802.13,20566.55,2023-11-28,1
LOAN0000187,CUST007047,Personal Loan,0,,,206296.0,0.0,0.0,2024-10-10,0
LOAN0000188,CUST006152,Personal Loan,0,,,300609.24,0.0,0.0,2023-05-08,0
LOAN0000189,CUST005109,Personal Loan,0,,,280752.32,0.0,0.0,2023-12-03,0
LOAN0000190,CUST004341,Personal Loan,0,,,521386.2,0.0,0.0,2026-05-29,0
LOAN0000191,CUST005943,Personal Loan,0,,,627590.37,0.0,0.0,2026-06-06,0
LOAN0000192,CUST002340,BNPL,0,,,37385.88,0.0,0.0,2024-03-08,0
LOAN0000193,CUST009415,SME Loan,0,,,75749.74,0.0,0.0,2026-07-12,0
LOAN0000194,CUST005900,BNPL,0,,,59719.7,0.0,0.0,2024-09-05,0
LOAN0000195,CUST003113,SME Loan,0,,,297831.06,0.0,0.0,2024-08-26,0
LOAN0000196,CUST004495,SME Loan,0,,,541288.8,0.0,0.0,2025-09-15,0
LOAN0000197,CUST008072,BNPL,0,,,39775.19,0.0,0.0,2023-04-25,0
LOAN0000198,CUST001626,Personal Loan,0,,,179784.36,0.0,0.0,2023-12-13,0
LOAN0000199,CUST002932,Personal Loan,0,,,601966.8,0.0,0.0,2025-01-18,0
LOAN0000200,CUST006808,Personal Loan,0,,,387848.1,0.0,0.0,2026-04-07,0
LOAN0000201,CUST003155,BNPL,0,,,27418.0,0.0,0.0,2024-09-13,0
LOAN0000202,CUST007939,Personal Loan,0,,,123956.76,0.0,0.0,2023-08-21,0
LOAN0000203,CUST001317,BNPL,1,120.0,4.0,6924.9,6712.1,2347.3,2022-12-07,1
LOAN0000204,CUST007638,SME Loan,0,,,107293.41,0.0,0.0,2024-07-17,0
LOAN0000205,CUST000692,Personal Loan,0,,,663137.92,0.0,0.0,2025-05-13,0
LOAN0000206,CUST000132,Personal Loan,0,,,267393.86,0.0,0.0,2025-09-11,0
LOAN0000207,CUST008990,BNPL,0,,,17684.46,0.0,0.0,2024-06-05,0
LOAN0000208,CUST005828,Personal Loan,1,240.0,8.0,94660.16,52748.84,13330.38,2024-04-21,1
LOAN0000209,CUST003517,SME Loan,0,,,168522.77,0.0,0.0,2025-01-27,0
LOAN0000210,CUST002333,Personal Loan,0,,,269410.22,0.0,0.0,2026-07-16,0
LOAN0000211,CUST006183,Personal Loan,1,120.0,4.0,46141.77,300974.23,89194.48,2023-05-02,1
LOAN0000212,CUST005097,Education Loan,0,,,661413.9,0.0,0.0,2026-09-12,0
LOAN0000213,CUST009914,SME Loan,0,,,87134.4,0.0,0.0,2025-10-12,0
LOAN0000214,CUST009828,SME Loan,0,,,562196.91,0.0,0.0,2023-02-23,0
LOAN0000215,CUST006359,SME Loan,0,,,241065.36,0.0,0.0,2023-08-02,0
LOAN0000216,CUST004430,Personal Loan,0,,,255520.86,0.0,0.0,2023-11-12,0
LOAN0000217,CUST004923,Personal Loan,0,,,34730.66,0.0,0.0,2024-08-25,0
LOAN0000218,CUST006840,SME Loan,1,180.0,6.0,158362.35,304941.65,101597.43,2024-02-25,1
LOAN0000219,CUST001026,Personal Loan,1,120.0,4.0,72627.12,378245.88,48906.59,2024-04-07,1
LOAN0000220,CUST003283,Education Loan,0,,,784903.68,0.0,0.0,2027-01-05,0
LOAN0000221,CUST000761,BNPL,0,,,56550.92,0.0,0.0,2024-01-10,0
LOAN0000222,CUST000743,BNPL,0,,,48229.7,0.0,0.0,2023-10-25,0
LOAN0000223,CUST001962,Personal Loan,1,210.0,7.0,384716.16,0.0,0.0,2024-07-11,1
LOAN0000224,CUST004860,Education Loan,0,,,316883.4,0.0,0.0,2023-11-05,0
LOAN0000225,CUST007858,SME Loan,0,,,334515.78,0.0,0.0,2024-01-10,0
LOAN0000226,CUST004862,Education Loan,0,,,269741.36,0.0,0.0,2025-01-30,0
LOAN0000227,CUST003352,BNPL,0,,,53866.8,0.0,0.0,2024-07-09,0
LOAN0000228,CUST000832,BNPL,0,,,16747.76,0.0,0.0,2024-06-23,0
LOAN0000229,CUST005510,Personal Loan,0,,,502799.22,0.0,0.0,2025-04-22,0
LOAN0000230,CUST002714,Personal Loan,1,60.0,2.0,19456.88,377399.12,52052.15,2023-04-06,1
LOAN0000231,CUST006163,BNPL,0,,,53985.84,0.0,0.0,2023-06-20,0
LOAN0000232,CUST009775,BNPL,0,,,11453.52,0.0,0.0,2023-12-23,0
LOAN0000233,CUST001127,Personal Loan,0,,,601283.44,0.0,0.0,2026-07-14,0
LOAN0000234,CUST002126,Personal Loan,0,,,635161.48,0.0,0.0,2026-06-13,0
LOAN0000235,CUST004729,Personal Loan,0,,,387608.98,0.0,0.0,2025-10-23,0
LOAN0000236,CUST009687,Personal Loan,0,,,547234.8,0.0,0.0,2025-06-26,0
LOAN0000237,CUST007727,Personal Loan,0,,,550225.8,0.0,0.0,2026-06-27,0
LOAN0000238,CUST008990,BNPL,0,,,35962.2,0.0,0.0,2024-04-03,0
LOAN0000239,CUST003334,Personal Loan,0,,,540745.66,0.0,0.0,2024-03-12,0
LOAN0000240,CUST009919,Personal Loan,0,,,230524.5,0.0,0.0,2025-02-08,0
LOAN0000241,CUST001041,BNPL,0,,,56001.12,0.0,0.0,2024-07-12,0
LOAN0000242,CUST000539,Personal Loan,0,,,224507.47,0.0,0.0,2024-11-26,0
LOAN0000243,CUST008567,Personal Loan,0,,,430257.92,0.0,0.0,2026-06-30,0
LOAN0000244,CUST009275,Personal Loan,0,,,309485.55,0.0,0.0,2024-02-29,0
LOAN0000245,CUST000915,SME Loan,0,,,713603.29,0.0,0.0,2026-04-05,0
LOAN0000246,CUST001147,Personal Loan,0,,,307090.08,0.0,0.0,2024-06-14,0
LOAN0000247,CUST000338,Personal Loan,0,,,374358.04,0.0,0.0,2024-02-16,0
LOAN0000248,CUST001057,Personal Loan,0,,,14807.45,0.0,0.0,2026-09-12,0
LOAN0000249,CUST002098,Personal Loan,0,,,641565.55,0.0,0.0,2026-03-31,0
LOAN0000250,CUST009701,Personal Loan,0,,,313074.84,0.0,0.0,2025-10-17,0
LOAN0000251,CUST006687,Personal Loan,1,210.0,7.0,133049.34,194149.66,54397.53,2024-07-01,1
LOAN0000252,CUST007794,Personal Loan,0,,,52745.04,0.0,0.0,2026-08-09,0
LOAN0000253,CUST007769,BNPL,0,,,25478.8,0.0,0.0,2024-05-06,0
LOAN0000254,CUST005359,Education Loan,0,,,312884.16,0.0,0.0,2024-11-22,0
LOAN0000255,CUST007988,BNPL,0,,,32772.46,0.0,0.0,2024-04-18,0
LOAN0000256,CUST005969,SME Loan,0,,,188808.48,0.0,0.0,2023-04-22,0
LOAN0000257,CUST003148,SME Loan,0,,,503412.6,0.0,0.0,2024-05-03,0
LOAN0000258,CUST005618,Personal Loan,0,,,371833.67,0.0,0.0,2024-07-22,0
LOAN0000259,CUST005343,Personal Loan,0,,,14697.28,0.0,0.0,2025-04-07,0
LOAN0000260,CUST008248,Personal Loan,1,180.0,6.0,85108.4,353807.6,139884.49,2023-10-24,1
LOAN0000261,CUST009816,BNPL,0,,,8773.6,0.0,0.0,2024-04-23,0
LOAN0000262,CUST004119,Personal Loan,0,,,137324.25,0.0,0.0,2024-07-12,0
LOAN0000263,CUST007645,BNPL,0,,,39497.82,0.0,0.0,2022-10-12,0
LOAN0000264,CUST001006,SME Loan,1,240.0,8.0,86578.31,79242.69,25859.56,2024-07-30,1
LOAN0000265,CUST007776,BNPL,0,,,57815.46,0.0,0.0,2024-02-04,0
LOAN0000266,CUST003717,Personal Loan,0,,,372407.75,0.0,0.0,2024-09-06,0
LOAN0000267,CUST000399,Personal Loan,0,,,139220.64,0.0,0.0,2026-03-29,0
LOAN0000268,CUST003633,BNPL,0,,,5328.32,0.0,0.0,2024-08-24,0
LOAN0000269,CUST006119,SME Loan,0,,,768492.48,0.0,0.0,2026-08-17,0
LOAN0000270,CUST001207,Personal Loan,0,,,591534.57,0.0,0.0,2025-05-16,0
LOAN0000271,CUST009243,Personal Loan,0,,,632568.44,0.0,0.0,2026-04-24,0
LOAN0000272,CUST000786,SME Loan,0,,,546860.76,0.0,0.0,2024-12-31,0
LOAN0000273,CUST009303,Education Loan,0,,,246430.8,0.0,0.0,2025-03-07,0
LOAN0000274,CUST007087,Personal Loan,0,,,68013.6,0.0,0.0,2024-05-21,0
LOAN0000275,CUST003298,SME Loan,0,,,596987.58,0.0,0.0,2025-07-28,0
LOAN0000276,CUST003910,BNPL,0,,,28501.92,0.0,0.0,2024-08-06,0
LOAN0000277,CUST007424,Personal Loan,0,,,331860.57,0.0,0.0,2025-05-16,0
LOAN0000278,CUST006028,Personal Loan,0,,,308843.73,0.0,0.0,2024-03-12,0
LOAN0000279,CUST006724,Personal Loan,0,,,114591.78,0.0,0.0,2026-03-31,0
LOAN0000280,CUST003895,Personal Loan,1,90.0,3.0,43121.46,428755.54,82276.08,2023-01-19,1
LOAN0000281,CUST004887,Personal Loan,0,,,313812.8,0.0,0.0,2024-12-30,0
LOAN0000282,CUST009895,SME Loan,0,,,216286.92,0.0,0.0,2024-06-05,0
LOAN0000283,CUST002144,Personal Loan,0,,,94515.84,0.0,0.0,2024-10-20,0
LOAN0000284,CUST004186,BNPL,0,,,46518.57,0.0,0.0,2023-10-11,0
LOAN0000285,CUST002923,Personal Loan,0,,,285656.03,0.0,0.0,2023-09-13,0
LOAN0000286,CUST007662,Personal Loan,0,,,594691.02,0.0,0.0,2024-11-22,0
LOAN0000287,CUST007651,Personal Loan,0,,,369427.68,0.0,0.0,2025-05-31,0
LOAN0000288,CUST002929,Personal Loan,1,120.0,4.0,6858.51,47895.49,17101.71,2023-08-11,1
LOAN0000289,CUST000822,Personal Loan,1,180.0,6.0,45011.8,168922.2,21216.32,2024-06-22,1
